ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
4000,B,Ship,3,4,134,3,high,F,6,5680
9560,F,Ship,4,3,173,3,medium,M,5,5331
2650,B,Ship,2,1,192,3,high,M,46,3206
4844,F,Ship,6,5,284,4,medium,M,8,5346
9602,F,Flight,3,1,246,3,low,F,10,4707
3023,C,Flight,4,2,211,2,low,F,39,2520
10420,B,Flight,2,1,238,4,medium,F,4,4780
2666,F,Ship,4,1,178,3,medium,M,9,1006
1845,A,Ship,3,4,198,2,medium,F,20,2266
6383,C,Ship,4,1,214,2,low,F,10,4447
10722,F,Ship,5,1,234,5,medium,M,8,1837
7440,F,Ship,3,5,146,10,low,M,9,4128
4768,B,Ship,4,1,194,3,medium,F,9,5804
7683,A,Flight,5,2,241,2,medium,M,9,4965
1622,F,Road,5,2,260,2,high,M,58,2018
84,F,Ship,5,5,162,3,high,F,31,1364
1118,F,Ship,4,4,205,3,low,F,11,2255
3399,A,Road,6,2,240,4,low,M,9,4099
9692,F,Ship,6,5,275,4,low,M,2,1700
4713,A,Ship,4,1,151,6,low,M,7,4387
2146,B,Ship,4,4,181,3,low,M,44,2070
7657,D,Road,4,5,140,2,medium,F,5,4347
2720,F,Road,3,2,134,2,medium,F,45,1946
2925,A,Ship,2,2,152,4,low,F,48,1212
10271,C,Flight,4,5,157,3,medium,M,10,5898
9379,D,Ship,4,4,167,4,low,M,2,5908
3545,C,Road,3,4,248,4,medium,M,8,4540
10893,A,Ship,4,5,167,2,low,F,7,5800
9708,F,Road,5,2,249,6,low,M,8,1170
10638,F,Ship,5,4,151,3,low,F,10,4611
1255,D,Ship,3,1,203,4,medium,M,12,2779
9238,B,Ship,4,4,246,2,medium,F,2,4633
9334,B,Ship,5,3,194,4,low,M,9,5851
7377,A,Road,3,1,201,2,medium,F,4,4857
2975,C,Ship,2,3,146,3,medium,M,18,1289
5088,F,Ship,5,2,243,3,high,M,2,5734
5725,D,Ship,5,5,287,4,low,M,4,1509
5222,F,Flight,6,5,256,5,low,M,10,1686
2070,F,Flight,3,4,190,10,medium,F,32,2064
2531,C,Ship,4,1,141,2,low,F,23,1689
5635,D,Ship,3,4,145,2,high,F,5,5513
1950,F,Ship,5,1,201,2,medium,F,54,2158
3288,F,Flight,3,1,135,3,low,M,9,4511
8182,B,Ship,4,5,164,4,low,F,4,5736
6222,F,Ship,5,1,227,5,low,M,6,1667
9698,F,Ship,6,3,274,4,low,F,5,1452
4243,D,Flight,5,4,286,5,low,F,3,5208
786,F,Ship,2,3,144,3,high,M,40,1500
10821,A,Flight,4,1,157,5,low,M,10,4871
234,F,Ship,2,1,222,2,medium,M,58,3626
2394,F,Ship,4,3,158,3,low,M,18,1036
350,F,Ship,5,1,161,3,low,M,47,1954
7275,A,Flight,5,2,248,2,low,F,10,4813
6789,A,Ship,3,4,250,6,medium,M,1,4543
193,D,Ship,2,4,140,3,low,F,7,1411
3742,B,Ship,5,1,167,3,medium,M,3,4267
10016,F,Flight,3,4,245,2,medium,F,1,4427
10956,F,Flight,2,5,125,4,low,M,5,5866
10105,D,Ship,2,4,252,4,medium,M,4,4787
137,C,Flight,3,3,189,4,medium,F,51,2208
4523,C,Flight,3,1,269,2,medium,M,6,5703
1811,C,Ship,4,2,274,2,low,M,11,3013
9110,F,Ship,5,4,231,2,medium,F,7,5491
5989,D,Ship,5,2,233,7,medium,F,8,5519
340,B,Ship,4,4,191,6,low,F,60,3425
6072,F,Ship,3,4,257,5,medium,F,5,5365
5194,B,Road,4,4,268,6,medium,F,3,4834
4805,C,Flight,6,2,152,2,low,F,9,1993
4226,F,Road,4,4,217,2,low,M,6,4029
3450,F,Ship,4,1,163,4,medium,M,2,5432
2715,A,Road,4,4,225,3,low,M,51,2892
3397,D,Ship,2,4,172,5,low,M,4,4668
2562,F,Ship,5,2,133,10,medium,M,53,1674
3221,C,Ship,3,1,263,2,medium,M,9,4868
323,C,Ship,3,3,150,3,low,M,46,1040
1371,A,Flight,5,3,199,4,low,F,24,3473
2511,A,Ship,3,2,143,6,medium,M,63,1953
4827,A,Ship,2,5,205,6,low,M,2,5671
483,A,Ship,3,3,220,7,low,M,25,2141
4829,C,Ship,5,4,216,2,low,F,6,4535
2926,B,Ship,3,1,161,3,low,F,57,1918
4016,F,Ship,2,5,116,3,low,F,1,4091
4277,C,Ship,4,3,175,4,medium,F,4,5685
1739,C,Ship,4,5,208,2,medium,M,33,2170
4807,D,Flight,6,1,260,4,medium,F,2,1131
6346,B,Ship,3,4,267,3,high,M,8,5337
4025,C,Ship,4,1,228,2,medium,F,9,4091
8853,A,Ship,3,1,242,8,medium,M,4,4943
1280,F,Ship,3,2,213,2,medium,F,54,2809
6550,B,Road,5,1,249,5,medium,F,1,1654
4299,A,Ship,3,5,140,3,low,M,9,4733
7658,F,Road,5,2,146,7,low,F,9,5631
4994,F,Ship,3,5,268,3,low,F,6,5603
5354,F,Flight,4,3,167,3,medium,F,1,4621
4509,A,Road,4,1,140,3,low,M,4,5210
4143,A,Ship,3,1,149,2,medium,F,7,4147
8665,D,Ship,3,3,202,4,low,F,9,4917
9397,D,Ship,7,5,255,4,low,M,7,1104
6385,D,Ship,3,1,166,2,high,F,6,5905
9361,D,Ship,7,2,244,4,medium,F,8,1477
9676,B,Ship,7,2,277,5,low,F,1,1700
7037,C,Ship,4,2,223,3,medium,F,7,5977
8907,A,Flight,4,5,295,3,low,F,2,1693
3678,F,Road,3,1,180,6,low,M,5,4802
3423,A,Flight,3,4,255,4,low,M,10,4107
10969,D,Flight,4,4,257,5,medium,F,4,1668
9779,C,Ship,3,1,263,3,medium,F,4,4208
8345,C,Road,6,1,302,4,low,F,1,1622
1748,F,Ship,4,5,263,2,low,M,62,2267
4139,C,Ship,3,4,163,2,low,F,7,5720
7435,D,Ship,5,1,171,2,low,M,9,5252
8977,D,Ship,3,2,233,3,medium,M,7,5838
8816,F,Ship,4,4,268,3,low,F,9,4118
1878,F,Ship,2,2,274,3,high,F,60,2053
10218,F,Ship,4,3,254,5,low,F,8,1851
8651,C,Ship,4,3,253,6,low,F,4,1788
7718,F,Ship,6,5,276,4,low,M,3,1136
2818,B,Ship,5,2,157,3,low,M,1,1798
3036,F,Ship,5,2,184,2,medium,M,27,3276
506,F,Ship,3,1,219,2,low,F,39,2696
8861,C,Ship,7,1,307,4,low,M,4,1371
8491,D,Flight,4,1,194,2,medium,F,1,4198
8237,C,Flight,5,1,264,6,high,F,4,5337
10611,A,Ship,3,1,257,4,low,M,8,4692
2325,A,Flight,2,2,255,3,low,M,59,1514
7583,C,Ship,4,4,245,2,low,F,2,4297
10450,B,Ship,4,3,233,5,low,M,5,1799
8887,D,Road,7,3,305,4,medium,F,5,1198
1478,F,Ship,3,3,249,3,low,M,55,3375
4279,D,Ship,6,2,271,10,medium,F,2,4145
4474,B,Ship,3,1,173,2,low,M,10,4115
10238,F,Ship,5,1,233,3,low,F,9,5039
3736,B,Ship,6,1,170,3,low,F,10,4858
10587,A,Ship,4,2,258,3,low,F,5,5393
5342,F,Flight,3,2,151,3,low,F,7,5154
3009,A,Road,3,1,159,2,medium,F,44,1806
